20,
10 , 0,  8  ,  10 ,  30 ,  1 , 0,
14 , 0,  10 ,  11 ,  24 ,  1 , 0,
13 , 2,  11 ,  7  ,  22 ,  2 , 0,
8  , 1,  17 ,  16 ,  15 ,  2 , 2,
15 , 0,  18 ,  11 ,  19 ,  2 , 0,
32 , 3,  5  ,  6  ,  3  ,  1 , 0,
12 , 2,  19 ,  7  ,  20 ,  2 , 0,
10 , 5,  24 ,  5  ,  10 ,  2 , 0,
19 , 0,  29 ,  10 ,  25 ,  2 , 0,
7  , 4,  22 ,  12 ,  14 ,  3 , 2,
10 , 1,  45 ,  18 ,  20 ,  3 , 0,
14 , 0,  38 ,  10 ,  18 ,  3 , 0,
42 , 3,  9  ,  7  ,  4  ,  1 , 0,
18 , 5,  49 ,  5  ,  22 ,  2 , 0,
15 , 2,  38 ,  6  ,  9  ,  3 , 2,
9  , 1, 102 ,  16 ,  19 ,  4 , 0,
16 , 4,  47 ,  14 ,  30 ,  3 , 0,
55 , 3,  11 ,  6  ,  5  ,  2 , 0,
6  , 1, 285 ,  18 ,  38 ,  8 , 0,
1  , 6, 1800,  26 ,  50 , 50 , 2
